Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-03-26 18:00:00,33.72,7.0,40.0,913049241.0,0
2024-03-27 00:00:00,30.49,7.0,40.0,909650959.0,0
2024-03-27 06:00:00,24.065,11.0,20.0,922461898.1387095,1
2024-03-27 12:00:00,31.25,7.0,40.0,923800121.0,0
2024-03-27 18:00:00,39.86,7.0,40.0,910559096.0,0
2024-03-28 00:00:00,24.065,11.0,20.0,911658621.4210432,1
2024-03-28 06:00:00,42.54,7.0,40.0,911428452.0,0
2024-03-28 12:00:00,24.065,11.0,20.0,908605268.0407313,1
2024-03-28 18:00:00,22.62,7.0,40.0,910980734.0,0
2024-03-29 00:00:00,24.065,11.0,20.0,908436244.0848054,1
2024-03-29 06:00:00,24.66,7.0,40.0,920598449.0,0
2024-03-29 12:00:00,32.54,7.0,40.0,912418132.0,0
2024-03-29 18:00:00,29.0,7.0,40.0,921702682.0,0
2024-03-30 00:00:00,25.66,7.0,40.0,921343233.0,0
2024-03-30 06:00:00,24.065,11.0,20.0,906210345.989251,1
2024-03-30 12:00:00,27.69,6.0,40.0,904555895.0,0
2024-03-30 18:00:00,24.065,11.0,20.0,907659591.7171366,1
2024-03-31 00:00:00,24.065,11.0,20.0,909643397.9049059,1
2024-03-31 06:00:00,24.065,7.0,40.0,913519776.0,0
2024-03-31 12:00:00,24.065,7.0,40.0,919877871.0,0
2024-03-31 18:00:00,21.98,7.0,40.0,912998136.0,0
2024-04-01 00:00:00,24.065,7.0,40.0,915201159.0,0
2024-04-01 06:00:00,24.065,7.0,40.0,910010549.0,0
2024-04-01 12:00:00,24.065,7.0,40.0,916040024.0,0
2024-04-01 18:00:00,33.42,9.0,10.0,920020904.0,0
2024-04-02 00:00:00,24.065,11.0,20.0,907855387.8572005,1
2024-04-02 06:00:00,24.065,11.0,20.0,907643327.7860603,1
2024-04-02 12:00:00,19.03,7.0,40.0,902560754.0,0
2024-04-02 18:00:00,18.06,7.0,40.0,908711019.0,0
2024-04-03 00:00:00,24.065,11.0,20.0,909767241.9295007,1
2024-04-03 06:00:00,25.07,7.0,40.0,907179608.0,0
