Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-01-15 12:00:00,22.48,7.0,100.0,855639213.0,0
2024-01-15 18:00:00,22.48,7.0,100.0,858051242.0,0
2024-01-16 00:00:00,22.48,7.0,100.0,854856174.0,0
2024-01-16 06:00:00,29.57,7.0,100.0,852546080.0,0
2024-01-16 12:00:00,29.52,7.0,100.0,832651052.0,0
2024-01-16 18:00:00,20.97,6.0,100.0,856845441.5,0
2024-01-17 00:00:00,19.6,6.0,100.0,855470421.0,0
2024-01-17 06:00:00,22.48,7.0,100.0,851104414.2392007,1
2024-01-17 12:00:00,28.38,7.0,100.0,850029239.0,0
2024-01-17 18:00:00,19.96,6.0,100.0,859047434.0,0
2024-01-18 00:00:00,22.48,7.0,100.0,854231665.5933757,1
2024-01-18 06:00:00,21.22,6.0,100.0,855484237.0,0
2024-01-18 12:00:00,28.1,7.0,100.0,855114668.0,0
2024-01-18 18:00:00,29.3,7.0,100.0,853227443.0,0
2024-01-19 00:00:00,22.48,7.0,100.0,854927918.319656,1
2024-01-19 06:00:00,22.48,7.0,100.0,854392269.1790631,1
2024-01-19 12:00:00,22.48,7.0,100.0,854893704.3229856,1
2024-01-19 18:00:00,22.48,7.0,100.0,855586100.0,0
2024-01-20 00:00:00,22.48,7.0,100.0,854380437.0607983,1
2024-01-20 06:00:00,29.72,7.0,100.0,855272382.0,0
2024-01-20 12:00:00,28.76,7.0,100.0,847618613.0,0
2024-01-20 18:00:00,28.4,7.0,100.0,854197568.5,0
2024-01-21 00:00:00,22.48,7.0,100.0,855593159.0431182,1
2024-01-21 06:00:00,29.52,7.0,100.0,854958279.0,0
2024-01-21 12:00:00,29.91,7.0,100.0,853777540.0,0
2024-01-21 18:00:00,28.18,7.0,100.0,851864249.0,0
2024-01-22 00:00:00,22.48,7.0,100.0,855614798.7450407,1
2024-01-22 06:00:00,28.35,7.0,100.0,856818453.0,0
2024-01-22 12:00:00,21.64,6.0,100.0,866177244.0,0
2024-01-22 18:00:00,21.03,6.0,100.0,858155542.0,0
2024-01-23 00:00:00,21.1,6.0,100.0,851916593.0,0
2024-01-23 06:00:00,22.48,7.0,100.0,852809308.3209709,1
2024-01-23 12:00:00,28.3,7.0,100.0,853017173.0,0
2024-01-23 18:00:00,28.97,7.0,100.0,851890828.5,0
2024-01-24 00:00:00,22.48,7.0,100.0,855975437.8939352,1
2024-01-24 06:00:00,22.48,7.0,100.0,854311691.3865796,1
2024-01-24 12:00:00,30.35,7.0,100.0,853856461.0,0
2024-01-24 18:00:00,29.38,7.0,100.0,854541668.0,0
2024-01-25 00:00:00,22.48,7.0,100.0,855046446.4784034,1
2024-01-25 06:00:00,22.48,7.0,100.0,854279844.9471632,1
2024-01-25 12:00:00,22.48,7.0,100.0,855058920.5525011,1
2024-01-25 18:00:00,20.1,6.0,100.0,858182033.5,0
2024-01-26 00:00:00,22.48,7.0,100.0,854003287.8173661,1
2024-01-26 06:00:00,21.96,6.0,100.0,859283192.0,0
2024-01-26 12:00:00,21.15,6.0,100.0,857736197.0,0
2024-01-26 18:00:00,22.48,7.0,100.0,852348556.0822955,1
2024-01-27 00:00:00,22.48,7.0,100.0,853966908.2224733,1
2024-01-27 06:00:00,22.48,7.0,100.0,854720780.6173109,1
2024-01-27 12:00:00,28.98,7.0,100.0,846149672.0,0
2024-01-27 18:00:00,22.48,7.0,100.0,855749420.8210689,1
2024-01-28 00:00:00,29.24,7.0,100.0,848794277.0,0
2024-01-28 06:00:00,22.48,7.0,100.0,854375299.864791,1
2024-01-28 12:00:00,22.48,7.0,100.0,855345977.314362,1
2024-01-28 18:00:00,29.5,7.0,100.0,852888078.0,0
2024-01-29 00:00:00,22.48,7.0,100.0,854810226.86372,1
2024-01-29 06:00:00,22.48,7.0,100.0,854543419.6103293,1
2024-01-29 12:00:00,22.48,7.0,100.0,854966405.2905133,1
