Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-04-22 12:00:00,31.16,6.0,100.0,921652280.0,0
2024-04-22 18:00:00,32.37,6.0,100.0,917086999.0,0
2024-04-23 00:00:00,26.04,7.0,20.0,941757555.7434897,1
2024-04-23 06:00:00,17.73,7.0,20.0,922066043.0,0
2024-04-23 12:00:00,49.28,9.0,10.0,918026406.0,0
2024-04-23 18:00:00,18.84,7.0,20.0,821928804.0,0
2024-04-24 00:00:00,31.88,6.0,100.0,924013071.0,0
2024-04-24 06:00:00,31.94,7.0,20.0,919623008.0,0
2024-04-24 12:00:00,26.04,7.0,20.0,918451684.4650258,1
2024-04-24 18:00:00,14.51,7.0,20.0,914765195.0,0
2024-04-25 00:00:00,26.04,7.0,20.0,917876198.9658307,1
2024-04-25 06:00:00,26.04,7.0,20.0,918433833.9622337,1
2024-04-25 12:00:00,26.04,7.0,20.0,918098340.8424182,1
2024-04-25 18:00:00,29.83,6.0,100.0,914804257.5,0
2024-04-26 00:00:00,26.04,7.0,20.0,917825824.0766675,1
2024-04-26 06:00:00,26.04,7.0,20.0,917917702.4139658,1
2024-04-26 12:00:00,26.04,7.0,20.0,917883343.1253037,1
2024-04-26 18:00:00,30.82,6.0,100.0,921961922.5,0
2024-04-27 00:00:00,30.98,6.0,100.0,924373744.0,0
2024-04-27 06:00:00,30.95,6.0,100.0,922932549.0,0
2024-04-27 12:00:00,26.04,7.0,20.0,916610176.8314593,1
2024-04-27 18:00:00,31.29,6.0,100.0,891499287.0,0
2024-04-28 00:00:00,26.04,7.0,20.0,916750169.3695093,1
2024-04-28 06:00:00,31.3,6.0,100.0,921181618.0,0
2024-04-28 12:00:00,26.35,6.0,100.0,928963100.0,0
2024-04-28 18:00:00,28.01,6.0,100.0,897499943.0,0
2024-04-29 00:00:00,26.04,7.0,20.0,915840344.6652954,1
2024-04-29 06:00:00,26.04,7.0,20.0,916948077.3064868,1
2024-04-29 12:00:00,27.11,6.0,100.0,920128246.0,0
2024-04-29 18:00:00,27.18,6.0,100.0,918206286.67,0
2024-04-30 00:00:00,26.04,7.0,20.0,916956675.058768,1
2024-04-30 06:00:00,31.0,7.0,20.0,920439920.0,0
2024-04-30 12:00:00,24.51,6.0,100.0,921959848.0,0
2024-04-30 18:00:00,26.04,7.0,20.0,917823110.0335937,1
2024-05-01 00:00:00,26.04,7.0,20.0,917674983.5160803,1
2024-05-01 06:00:00,26.04,7.0,20.0,918205785.8603756,1
2024-05-01 12:00:00,26.04,7.0,20.0,918571372.0766922,1
2024-05-01 18:00:00,25.68,6.0,100.0,905008562.0,0
2024-05-02 00:00:00,26.04,7.0,20.0,918133018.3081535,1
2024-05-02 06:00:00,26.04,7.0,20.0,918524633.6101265,1
2024-05-02 12:00:00,21.98,6.0,100.0,923060668.0,0
2024-05-02 18:00:00,37.52,9.0,10.0,912261941.0,0
2024-05-03 00:00:00,26.04,7.0,20.0,917512379.411617,1
