Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-01-15 18:00:00,20.23,6.0,10.0,895327826.0,0
2024-01-16 00:00:00,20.23,6.0,10.0,859200061.874676,1
2024-01-16 06:00:00,20.23,6.0,10.0,910266957.510168,1
2024-01-16 12:00:00,20.23,6.0,10.0,902484696.9879915,1
2024-01-16 18:00:00,46.19,8.0,100.0,896481933.5,0
2024-01-17 00:00:00,20.23,6.0,10.0,902155615.430351,1
2024-01-17 06:00:00,20.23,6.0,10.0,898389274.382041,1
2024-01-17 12:00:00,24.76,8.0,100.0,904451082.0,0
2024-01-17 18:00:00,55.27,8.0,100.0,904396302.0,0
2024-01-18 00:00:00,20.23,6.0,10.0,900353903.8028789,1
2024-01-18 06:00:00,20.23,6.0,10.0,899478972.2897109,1
2024-01-18 12:00:00,20.31,8.0,100.0,907806896.0,0
2024-01-18 18:00:00,46.93,8.0,100.0,894542064.0,0
2024-01-19 00:00:00,20.23,6.0,10.0,898291139.7200589,1
2024-01-19 06:00:00,20.23,6.0,10.0,897931502.5567439,1
2024-01-19 12:00:00,20.23,6.0,10.0,899099821.8889179,1
2024-01-19 18:00:00,48.64,8.0,100.0,883570163.0,0
2024-01-20 00:00:00,20.23,6.0,10.0,898933479.4999117,1
2024-01-20 06:00:00,20.23,6.0,10.0,898837913.5665761,1
2024-01-20 12:00:00,20.23,6.0,10.0,898804076.2473652,1
2024-01-20 18:00:00,20.23,6.0,10.0,898671800.3073024,1
2024-01-21 00:00:00,20.23,6.0,10.0,898737628.6428713,1
2024-01-21 06:00:00,20.23,6.0,10.0,898805541.3153274,1
2024-01-21 12:00:00,25.7,8.0,100.0,904345004.0,0
2024-01-21 18:00:00,47.47,8.0,100.0,893242104.0,0
2024-01-22 00:00:00,20.23,6.0,10.0,897755026.5243026,1
2024-01-22 06:00:00,47.86,9.0,100.0,894482568.0,0
2024-01-22 12:00:00,25.63,8.0,100.0,895509719.0,0
2024-01-22 18:00:00,20.23,6.0,10.0,898952457.8990085,1
2024-01-23 00:00:00,20.23,6.0,10.0,899039584.3610272,1
2024-01-23 06:00:00,20.23,6.0,10.0,898538690.4563625,1
2024-01-23 12:00:00,20.23,6.0,10.0,898994510.6679474,1
2024-01-23 18:00:00,20.23,6.0,10.0,898570468.9080125,1
2024-01-24 00:00:00,20.23,6.0,10.0,899081949.3743008,1
2024-01-24 06:00:00,20.23,6.0,10.0,898516036.7001299,1
2024-01-24 12:00:00,47.19,8.0,100.0,895850592.0,0
2024-01-24 18:00:00,24.34,8.0,100.0,900231319.5,0
2024-01-25 00:00:00,20.23,6.0,10.0,898485339.0402344,1
2024-01-25 06:00:00,24.8,8.0,100.0,905494046.0,0
2024-01-25 12:00:00,52.52,6.0,10.0,893843473.5,0
2024-01-25 18:00:00,41.06,8.0,100.0,889166876.5,0
2024-01-26 00:00:00,52.33,8.0,100.0,892954629.0,0
2024-01-26 06:00:00,29.61,8.0,100.0,905711459.0,0
2024-01-26 12:00:00,42.19,8.0,100.0,895483769.0,0
2024-01-26 18:00:00,43.16,8.0,100.0,863885934.5,0
2024-01-27 00:00:00,20.23,6.0,10.0,898230303.8552884,1
2024-01-27 06:00:00,42.76,8.0,100.0,896380527.0,0
2024-01-27 12:00:00,20.23,6.0,10.0,898606324.7065682,1
2024-01-27 18:00:00,41.7,8.0,100.0,881062856.0,0
2024-01-28 00:00:00,20.23,6.0,10.0,899236919.6938838,1
2024-01-28 06:00:00,42.7,8.0,100.0,884735270.0,0
2024-01-28 12:00:00,20.23,6.0,10.0,900392674.6620992,1
2024-01-28 18:00:00,43.75,8.0,100.0,894961226.5,0
2024-01-29 00:00:00,20.23,6.0,10.0,899173016.5278614,1
2024-01-29 06:00:00,20.23,6.0,10.0,898639185.521919,1
2024-01-29 12:00:00,44.54,8.0,100.0,896744795.0,0
2024-01-29 18:00:00,45.38,8.0,100.0,897243330.0,0
2024-01-30 00:00:00,20.23,6.0,10.0,899290676.9902958,1
2024-01-30 06:00:00,22.09,8.0,100.0,904540201.0,0
2024-01-30 12:00:00,45.02,8.0,100.0,890113178.0,0
2024-01-30 18:00:00,50.21,8.0,100.0,889137707.0,0
2024-01-31 00:00:00,20.23,6.0,10.0,898681934.8662564,1
2024-01-31 06:00:00,20.23,6.0,10.0,899252624.1822535,1
2024-01-31 12:00:00,22.02,8.0,100.0,895025408.5,0
2024-01-31 18:00:00,16.34,8.0,100.0,899627803.0,0
2024-02-01 00:00:00,20.23,6.0,10.0,898541813.7008498,1
2024-02-01 06:00:00,18.57,8.0,100.0,900310594.0,0
2024-02-01 12:00:00,20.23,6.0,10.0,898641359.5246956,1
2024-02-01 18:00:00,20.23,8.0,100.0,896848711.0,0
2024-02-02 00:00:00,20.23,8.0,100.0,897593128.0,0
2024-02-02 06:00:00,20.23,6.0,10.0,898922866.1238186,1
2024-02-02 12:00:00,20.23,6.0,10.0,899016360.1814445,1
2024-02-02 18:00:00,21.46,8.0,100.0,902022103.0,0
2024-02-03 00:00:00,23.53,8.0,100.0,904347760.0,0
2024-02-03 06:00:00,23.76,8.0,100.0,903268941.5,0
2024-02-03 12:00:00,42.86,8.0,100.0,893336511.0,0
2024-02-03 18:00:00,49.38,8.0,100.0,900176914.0,0
2024-02-04 00:00:00,20.23,6.0,10.0,897685004.2221524,1
2024-02-04 06:00:00,20.23,6.0,10.0,898600944.5339943,1
2024-02-04 12:00:00,22.46,8.0,100.0,899259811.0,0
2024-02-04 18:00:00,21.91,8.0,100.0,889658671.5,0
2024-02-05 00:00:00,20.23,6.0,10.0,898822508.2184771,1
2024-02-05 06:00:00,26.12,8.0,100.0,894591004.0,0
2024-02-05 12:00:00,38.43,8.0,100.0,892549542.0,0
2024-02-05 18:00:00,43.95,8.0,100.0,895536288.0,0
2024-02-06 00:00:00,18.19,8.0,100.0,904500156.0,0
2024-02-06 06:00:00,20.23,6.0,10.0,897613180.637116,1
2024-02-06 12:00:00,41.88,8.0,100.0,897842347.0,0
2024-02-06 18:00:00,43.57,8.0,100.0,886415760.0,0
2024-02-07 00:00:00,20.23,6.0,10.0,898911817.2584324,1
2024-02-07 06:00:00,20.23,6.0,10.0,898512376.9211296,1
2024-02-07 12:00:00,20.23,6.0,10.0,898620251.5697625,1
2024-02-07 18:00:00,20.42,5.0,10.0,905710074.5,0
2024-02-08 00:00:00,19.08,5.0,10.0,890283330.0,0
2024-02-08 06:00:00,20.23,6.0,10.0,897544169.923275,1
2024-02-08 12:00:00,50.64,8.0,100.0,899051354.0,0
2024-02-08 18:00:00,20.23,6.0,10.0,898254249.7490321,1
