Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,is_imputed
2024-01-15 18:00:00,3.26,6.0,100.0,2918141813.0,0
2024-01-16 00:00:00,3.26,6.0,100.0,3182059389.060486,1
2024-01-16 06:00:00,3.26,6.0,100.0,4820149718.0,0
2024-01-16 12:00:00,2.92,6.0,100.0,2105796961.0,0
2024-01-16 18:00:00,1.04,5.0,100.0,4616082677.0,0
2024-01-17 00:00:00,3.26,6.0,100.0,3305459866.320681,1
2024-01-17 06:00:00,3.26,6.0,100.0,3565944441.580657,1
2024-01-17 12:00:00,3.43,5.0,100.0,3160301315.67,0
2024-01-17 18:00:00,2.18,5.0,100.0,2592239750.0,0
2024-01-18 00:00:00,3.26,6.0,100.0,3559785764.315834,1
2024-01-18 06:00:00,3.26,6.0,100.0,3658595595.6428113,1
2024-01-18 12:00:00,4.68,5.0,100.0,4053060204.0,0
2024-01-18 18:00:00,3.12,5.0,100.0,5231847448.0,0
2024-01-19 00:00:00,3.26,6.0,100.0,3870588219.8016253,1
2024-01-19 06:00:00,2.73,5.0,100.0,4237515517.0,0
2024-01-19 12:00:00,2.57,5.0,100.0,4321022546.0,0
2024-01-19 18:00:00,3.11,5.0,100.0,3524485634.0,0
2024-01-20 00:00:00,3.55,5.0,100.0,4672624186.0,0
2024-01-20 06:00:00,2.39,5.0,100.0,2364663127.0,0
2024-01-20 12:00:00,2.51,5.0,100.0,6854690715.0,0
2024-01-20 18:00:00,2.3,5.0,100.0,1139124752.0,0
2024-01-21 00:00:00,3.16,5.0,100.0,6479591881.0,0
2024-01-21 06:00:00,2.42,5.0,100.0,6164497518.0,0
2024-01-21 12:00:00,3.46,5.0,100.0,3920596366.0,0
2024-01-21 18:00:00,1.87,5.0,100.0,4876935553.0,0
2024-01-22 00:00:00,3.26,6.0,100.0,3888912558.0683837,1
2024-01-22 06:00:00,2.12,5.0,100.0,6087528969.0,0
2024-01-22 12:00:00,2.46,5.0,100.0,4918769339.0,0
2024-01-22 18:00:00,2.92,5.0,100.0,4639176030.5,0
2024-01-23 00:00:00,1.8,5.0,100.0,3976616780.0,0
2024-01-23 06:00:00,2.57,5.0,100.0,4001017219.0,0
2024-01-23 12:00:00,3.2,5.0,100.0,2930199942.0,0
2024-01-23 18:00:00,3.6,5.0,100.0,3910194651.5,0
2024-01-24 00:00:00,3.26,6.0,100.0,3990609459.418505,1
2024-01-24 06:00:00,2.14,5.0,100.0,5799410897.0,0
2024-01-24 12:00:00,3.07,5.0,100.0,3578954481.5,0
2024-01-24 18:00:00,3.46,5.0,100.0,4148195071.0,0
2024-01-25 00:00:00,3.26,6.0,100.0,4033010299.0086017,1
2024-01-25 06:00:00,3.0,5.0,100.0,2937435545.5,0
2024-01-25 12:00:00,3.3,5.0,100.0,4561441703.0,0
2024-01-25 18:00:00,5.08,5.0,100.0,4629956659.0,0
2024-01-26 00:00:00,3.26,6.0,100.0,4109030860.82529,1
2024-01-26 06:00:00,3.52,5.0,100.0,5351824086.5,0
2024-01-26 12:00:00,3.17,5.0,100.0,4753104575.5,0
2024-01-26 18:00:00,3.08,5.0,100.0,4624017612.0,0
2024-01-27 00:00:00,3.26,5.0,100.0,7203193552.0,0
2024-01-27 06:00:00,3.51,5.0,100.0,5405483925.0,0
2024-01-27 12:00:00,2.45,5.0,100.0,1226478934.0,0
2024-01-27 18:00:00,2.79,5.0,100.0,4074685110.5,0
2024-01-28 00:00:00,3.26,6.0,100.0,4082268075.4938226,1
2024-01-28 06:00:00,2.62,5.0,100.0,4030733370.0,0
2024-01-28 12:00:00,2.65,5.0,100.0,5692204373.0,0
2024-01-28 18:00:00,2.67,5.0,100.0,7041751849.0,0
2024-01-29 00:00:00,3.26,6.0,100.0,4013545462.608719,1
2024-01-29 06:00:00,2.2,5.0,100.0,4403478565.0,0
2024-01-29 12:00:00,2.65,5.0,100.0,1116683523.0,0
2024-01-29 18:00:00,2.74,5.0,100.0,3992432630.0,0
2024-01-30 00:00:00,3.26,6.0,100.0,4026977466.024294,1
2024-01-30 06:00:00,3.26,6.0,100.0,4008294904.3758283,1
2024-01-30 12:00:00,3.26,6.0,100.0,3982486112.5281663,1
2024-01-30 18:00:00,3.26,6.0,100.0,3979178433.186336,1
2024-01-31 00:00:00,2.95,5.0,100.0,4248314585.0,0
2024-01-31 06:00:00,2.75,5.0,100.0,5154705495.0,0
2024-01-31 12:00:00,3.26,6.0,100.0,4039948980.9649706,1
2024-01-31 18:00:00,2.52,5.0,100.0,4902541890.0,0
2024-02-01 00:00:00,3.26,6.0,100.0,4058160130.5753784,1
2024-02-01 06:00:00,3.19,5.0,100.0,5187265492.0,0
2024-02-01 12:00:00,2.8,5.0,100.0,4102468023.0,0
2024-02-01 18:00:00,3.26,6.0,100.0,4142428952.877734,1
2024-02-02 00:00:00,3.26,6.0,100.0,4056459741.867735,1
2024-02-02 06:00:00,2.05,5.0,100.0,3018231722.0,0
2024-02-02 12:00:00,2.84,5.0,100.0,4966296193.0,0
2024-02-02 18:00:00,3.15,5.0,100.0,5258039399.5,0
2024-02-03 00:00:00,3.26,6.0,100.0,4124754627.549052,1
2024-02-03 06:00:00,2.83,5.0,100.0,4953238865.0,0
2024-02-03 12:00:00,2.81,5.0,100.0,4451501329.5,0
