Data,Atraso(ms),Hop_count,Bottleneck,Vazao_BBR,mask_applied
2024-01-15 18:00:00,16.68,9.0,6.0,822177095.0,0
2024-01-16 00:00:00,31.3,9.0,6.0,803491738.2324064,1
2024-01-16 06:00:00,31.3,9.0,6.0,800994149.7134004,1
2024-01-16 12:00:00,29.15,8.0,6.0,812858228.0,0
2024-01-16 18:00:00,31.3,9.0,6.0,801062122.2788498,1
2024-01-17 00:00:00,31.3,9.0,6.0,801032727.0694959,1
2024-01-17 06:00:00,31.3,9.0,6.0,801108256.6362828,1
2024-01-17 12:00:00,24.24,8.0,6.0,777835310.0,0
2024-01-17 18:00:00,31.3,9.0,6.0,801048245.9448481,1
2024-01-18 00:00:00,31.3,9.0,6.0,801039041.4125009,1
2024-01-18 06:00:00,31.3,9.0,6.0,801108256.6362828,1
2024-01-18 12:00:00,26.79,8.0,6.0,745691083.0,0
2024-01-18 18:00:00,31.3,9.0,6.0,800978678.8297879,1
2024-01-19 00:00:00,31.3,9.0,6.0,801066062.599626,1
2024-01-19 06:00:00,27.99,10.0,6.0,903925211.0,0
2024-01-19 12:00:00,21.35,8.0,6.0,821979877.0,0
2024-01-19 18:00:00,32.05,10.0,6.0,902075364.0,0
2024-01-20 00:00:00,31.3,9.0,6.0,800979488.8481015,1
2024-01-20 06:00:00,25.39,10.0,6.0,905350350.0,0
2024-01-20 12:00:00,25.67,10.0,6.0,830907203.0,0
2024-01-20 18:00:00,27.94,8.0,6.0,914573383.0,0
2024-01-21 00:00:00,31.3,9.0,6.0,800996778.1607441,1
2024-01-21 06:00:00,55.45,13.0,6.0,896428922.0,0
2024-01-21 12:00:00,55.14,13.0,6.0,907282243.0,0
2024-01-21 18:00:00,12.36,9.0,6.0,906439574.0,0
2024-01-22 00:00:00,14.64,8.0,6.0,920973740.0,0
2024-01-22 06:00:00,31.3,9.0,6.0,801008530.805957,1
2024-01-22 12:00:00,25.13,8.0,6.0,652218818.0,0
